,block_number,Ave._Transaction_Size
0,15669000,259.6063157894737
1,15669001,451.19634703196346
2,15669002,457.9308176100629
3,15669004,379.06060606060606
4,15669005,410.76164383561644
5,15669006,455.41059602649005
6,15669007,3623.125
7,15669008,433.05956112852664
8,15669009,370.4236111111111
9,15669010,350.772972972973
10,15669011,337.890625
11,15669012,474.98578199052133
12,15669013,383.02252252252254
13,15669014,416.0842696629214
14,15669015,406.0144927536232
15,15669016,368.050505050505
16,15669017,351.2757660167131
17,15669018,571.3954545454545
18,15669019,335.2268907563025
19,15669020,415.21259842519686
20,15669021,497.21367521367523
21,15669022,765.5335968379446
22,15669023,337.62068965517244
23,15669024,480.45535714285717
24,15669025,244.0878661087866
25,15669026,862.1651785714286
26,15669027,444.26143790849676
27,15669028,267.3333333333333
28,15669029,339.6025316455696
29,15669030,443.9767441860465
30,15669031,381.45171339563865
31,15669032,377.4095238095238
32,15669033,352.8410256410256
33,15669034,281.9948717948718
34,15669035,345.1521739130435
35,15669037,280.99624060150376
36,15669038,425.27329192546586
37,15669039,508.2083333333333
38,15669040,484.4258064516129
39,15669041,338.6565096952909
40,15669042,621.7872340425532
41,15669043,432.2439024390244
42,15669044,372.3016393442623
43,15669045,789.9411764705883
44,15669046,431.8014184397163
45,15669047,409.7917737789203
46,15669048,296.48571428571427
47,15669049,404.1292517006803
48,15669050,482.56024096385545
49,15669051,1085.9252873563219
50,15669052,801.542372881356
51,15669053,368.67808219178085
52,15669054,247.9349593495935
53,15669055,441.13270142180096
54,15669056,350.5126050420168
55,15669057,228.0
56,15669058,258.19117647058823
57,15669059,283.25062656641603
58,15669060,444.74342105263156
59,15669061,375.792
60,15669062,263.73489932885906
61,15669063,241.2
62,15669064,428.5409836065574
63,15669065,1027.2063492063492
64,15669066,314.50943396226415
65,15669067,337.07365439093485
66,15669068,268.89285714285717
67,15669069,351.1843971631206
68,15669070,422.6779661016949
69,15669071,323.94594594594594
70,15669072,580.8283582089553
71,15669073,269.6031746031746
72,15669074,391.46285714285716
73,15669075,402.3738738738739
74,15669076,384.6578947368421
