,block_number,Ave._Transaction_Size
0,15668700,248.8768115942029
1,15668701,268.93650793650795
2,15668702,313.5151515151515
3,15668703,397.0888888888889
4,15668704,383.16931216931215
5,15668705,970.2608695652174
6,15668706,366.06410256410254
7,15668707,286.5
8,15668708,300.9668874172185
9,15668709,333.44102564102565
10,15668710,312.0
11,15668711,317.27966101694915
12,15668712,365.5364583333333
13,15668713,312.2
14,15668714,285.7917737789203
15,15668715,427.8787878787879
16,15668716,323.8775510204082
17,15668717,284.672131147541
18,15668718,353.8333333333333
19,15668719,405.18888888888887
20,15668720,300.4344262295082
21,15668721,262.6042402826855
22,15668722,281.1885245901639
23,15668723,491.7073170731707
24,15668724,282.3780487804878
25,15668725,289.00299401197606
26,15668726,406.6616541353383
27,15668727,286.1788079470199
28,15668728,359.8256880733945
29,15668729,352.4039408866995
30,15668730,440.6746031746032
31,15668731,298.0057471264368
32,15668732,363.3636363636364
33,15668733,349.7886178861789
34,15668734,591.6780185758514
35,15668735,587.5151515151515
36,15668736,345.74226804123714
37,15668737,257.36507936507934
38,15668738,275.6111111111111
39,15668739,472.9708994708995
40,15668740,318.3333333333333
41,15668741,371.5444444444444
42,15668742,257.04954954954957
43,15668743,365.2280701754386
44,15668744,375.34615384615387
45,15668745,306.65356265356263
46,15668746,423.3288288288288
47,15668747,464.72222222222223
48,15668748,438.4517766497462
49,15668749,393.9148936170213
50,15668750,317.34517766497464
51,15668751,375.1082621082621
52,15668752,363.45238095238096
53,15668753,507.2307692307692
54,15668754,354.6904761904762
55,15668755,572.3151750972762
56,15668756,350.61603375527426
57,15668757,462.25342465753425
58,15668758,410.27966101694915
59,15668759,310.9775784753363
60,15668760,967.9285714285714
61,15668761,305.46451612903223
62,15668762,395.94444444444446
63,15668763,255.25
64,15668764,314.4078947368421
65,15668765,329.8206106870229
66,15668766,421.14414414414415
67,15668767,351.7920353982301
68,15668768,664.9029126213592
69,15668769,421.6036866359447
70,15668770,1015.6666666666666
71,15668771,562.7469135802469
72,15668772,642.975
73,15668773,424.5452054794521
74,15668774,505.53846153846155
75,15668775,325.8529411764706
76,15668776,644.6965174129353
77,15668777,429.2551928783383
78,15668778,318.3918918918919
79,15668779,320.3128834355828
80,15668780,374.5421052631579
81,15668781,320.11877394636014
82,15668782,454.7894736842105
83,15668783,438.72777777777776
84,15668784,348.3333333333333
85,15668785,646.8592375366569
86,15668786,707.5960264900663
87,15668787,497.59708737864077
88,15668788,285.3658536585366
89,15668789,338.31969309462914
90,15668790,435.5541401273885
91,15668791,360.5652173913044
92,15668792,561.2934782608696
93,15668793,304.36032388663966
94,15668794,358.19571865443424
95,15668795,624.5298013245033
96,15668796,320.1381215469613
97,15668797,337.9928057553957
98,15668798,488.87966804979254
99,15668799,319.02010050251255
100,15668800,253.85714285714286
101,15668801,298.8521739130435
102,15668802,318.0612691466083
103,15668803,243.0728476821192
104,15668804,337.9647355163728
105,15668805,307.60869565217394
106,15668807,398.2472826086956
107,15668808,403.3607594936709
108,15668809,981.738219895288
109,15668810,238.04188481675394
110,15668811,378.5615763546798
111,15668812,315.2716049382716
112,15668813,379.9
113,15668814,365.52645502645504
114,15668815,475.02222222222224
115,15668816,285.65634674922603
116,15668817,344.2881355932203
117,15668818,441.6896551724138
118,15668819,275.6190476190476
119,15668820,358.5419847328244
120,15668821,311.7457627118644
121,15668822,346.7
122,15668823,356.3786982248521
123,15668824,577.1079545454545
124,15668825,300.3863636363636
125,15668826,402.77862595419845
126,15668827,367.0
127,15668828,366.7417943107221
128,15668829,241.73469387755102
129,15668830,391.15737704918035
130,15668831,341.8109339407745
131,15668832,473.5866141732283
132,15668833,262.07975460122697
133,15668834,317.5963541666667
134,15668835,394.3879781420765
135,15668836,302.6585365853659
136,15668837,276.32313575525814
137,15668838,238.94294294294295
138,15668839,316.3259259259259
139,15668840,356.2142857142857
140,15668841,275.030303030303
141,15668842,372.8407079646018
142,15668843,847.5384615384615
143,15668844,308.3469387755102
144,15668845,230.32231404958677
145,15668846,459.60771704180064
146,15668847,360.0377358490566
147,15668848,489.1354166666667
148,15668849,287.72093023255815
149,15668850,267.5986394557823
150,15668851,332.71
151,15668852,278.3801916932907
152,15668853,318.2135922330097
153,15668854,339.7543859649123
154,15668855,323.2909090909091
155,15668856,242.64615384615385
156,15668857,196.28925619834712
157,15668858,311.97547683923705
158,15668859,187.3148688046647
159,15668860,274.64285714285717
160,15668861,242.39080459770116
161,15668862,279.0263157894737
162,15668863,369.8719512195122
163,15668864,208.7762237762238
164,15668865,302.99367088607596
165,15668866,293.2025316455696
166,15668867,283.7410358565737
167,15668868,976.9938271604939
168,15668869,716.2083333333334
169,15668870,278.85209003215436
170,15668871,221.30769230769232
171,15668872,301.64285714285717
172,15668873,204.2394366197183
173,15668874,330.14285714285717
174,15668875,283.9664179104478
175,15668876,466.5656108597285
176,15668877,241.11111111111111
177,15668878,263.7088607594937
178,15668879,277.90526315789475
179,15668880,235.8454810495627
180,15668881,449.52941176470586
181,15668882,254.0996563573883
182,15668883,310.0261437908497
183,15668884,168.57142857142858
184,15668885,293.6772908366534
185,15668886,252.17241379310346
186,15668887,278.3588235294118
187,15668888,237.9556313993174
188,15668889,478.47435897435895
189,15668890,425.7857142857143
190,15668891,317.28275862068966
191,15668892,354.4
192,15668893,212.21273291925465
193,15668894,367.475
194,15668895,985.945205479452
195,15668896,370.7692307692308
196,15668897,273.2283950617284
197,15668898,331.71812080536915
198,15668899,248.5344827586207
199,15668900,354.4469135802469
200,15668901,334.9263157894737
201,15668902,228.58646616541353
202,15668903,333.46666666666664
203,15668904,364.44879518072287
204,15668905,351.8888888888889
205,15668906,240.21965317919074
206,15668907,439.6898734177215
207,15668908,365.888
208,15668909,306.30864197530866
209,15668910,404.6727272727273
210,15668911,558.1304347826087
211,15668912,330.4745098039216
212,15668913,418.30379746835445
213,15668914,445.21069182389937
214,15668915,775.2307692307693
215,15668916,349.7
216,15668917,322.5365853658537
217,15668918,301.72543352601156
218,15668919,297.7551020408163
219,15668920,361.5125348189415
220,15668921,525.5685279187817
221,15668922,973.8910256410256
222,15668923,334.34567901234567
223,15668924,487.55263157894734
224,15668925,444.1179775280899
225,15668926,320.575
226,15668927,259.4901960784314
227,15668928,313.7860465116279
228,15668929,317.5833333333333
229,15668930,465.0853242320819
230,15668931,362.5655526992288
231,15668932,189.93548387096774
232,15668933,426.4314381270903
233,15668934,363.6839378238342
234,15668935,521.8898678414097
235,15668936,303.7088607594937
236,15668937,244.35897435897436
237,15668938,457.19831223628694
238,15668939,435.02090592334497
239,15668940,369.4923076923077
240,15668941,486.4375
241,15668942,881.4166666666666
242,15668943,667.8582995951417
243,15668944,408.2112676056338
